1.376,-0.694
1.514,3.094
3.958,2.797
5.143,1.310
3.232,1.695
2.330,1.819
2.868,-0.580
2.036,1.928
4.367,0.728
2.011,-1.025
2.674,2.093
3.300,0.424
2.754,-0.248
3.025,1.318
2.774,0.640
2.418,-1.321
1.233,-2.453
4.766,1.943
1.623,1.262
0.509,-0.489
3.435,0.930
4.265,0.261
3.958,1.684
0.562,3.144
2.043,2.878
2.307,2.238
0.589,1.179
1.845,3.981
2.823,-0.577
2.787,1.030
2.611,0.093
3.950,1.363
3.340,1.470
1.837,2.189
0.569,-0.260
1.155,1.668
0.171,1.479
1.191,5.457
-0.184,3.047
0.534,1.204
1.539,3.452
0.800,2.739
1.174,3.024
-0.782,2.484
0.615,3.355
1.694,3.670
1.318,2.714
0.869,1.883
-1.162,2.105
-1.276,2.962
0.174,3.821
1.361,5.838
0.473,2.430
2.080,0.169
2.635,3.350
2.135,2.492
0.756,1.061
1.080,2.870
1.374,2.977
2.266,3.068
2.269,2.968
2.761,1.851
0.545,1.994
2.450,2.493
3.201,2.901
2.269,2.693
2.210,2.773
4.379,-0.247
2.981,1.267
5.994,2.434
3.568,0.370
3.591,1.455
1.481,3.606
0.710,1.974
3.719,1.378
1.733,1.236
1.940,1.442
0.434,1.856
0.280,1.665
1.827,2.412
0.169,0.906
0.082,1.477
1.052,0.819
2.089,2.860
2.801,2.703
3.932,2.375
3.400,3.292
3.867,0.965
2.983,-0.510
3.932,1.665
2.878,1.484
3.341,0.493
1.734,0.987
3.232,0.092
3.356,0.398
2.580,1.576
0.939,-0.161
6.165,2.240
4.344,3.524
2.661,1.798
