4.359,1.594
3.997,3.386
2.502,0.653
0.577,3.484
-0.388,2.303
-0.508,1.020
0.513,2.668
-0.556,2.186
1.426,2.850
1.599,1.290
3.623,2.145
0.524,2.097
1.667,1.655
-0.438,0.094
0.739,2.238
2.712,4.664
2.908,5.133
1.882,4.009
0.187,1.718
0.591,3.380
-0.352,2.013
1.043,3.198
1.138,3.432
2.175,2.212
2.837,1.398
2.318,-1.405
2.670,-0.217
2.419,2.282
1.694,2.747
2.442,2.271
2.443,-0.709
1.861,0.364
2.981,0.137
4.358,1.816
1.412,0.020
2.419,-0.660
2.519,0.654
3.804,2.118
2.743,0.997
3.327,1.446
1.740,2.201
1.546,3.222
-0.436,1.634
1.277,2.808
1.523,0.479
3.344,0.418
5.295,1.237
4.399,1.044
2.673,1.614
2.043,1.714
2.230,0.354
1.043,0.464
2.966,2.003
3.650,1.944
1.052,0.033
4.164,1.016
4.250,2.534
0.382,-0.375
1.274,1.006
3.190,1.836
1.478,1.288
5.224,1.682
2.981,-1.180
1.840,0.230
3.690,1.985
2.332,4.000
2.844,0.764
3.674,2.686
0.572,-0.791
5.540,0.714
1.671,-0.269
1.497,0.484
2.736,0.084
1.808,0.939
1.397,2.097
3.187,3.759
3.439,1.946
2.439,1.469
2.794,1.923
2.627,1.374
2.355,1.854
1.469,1.720
-0.881,0.759
2.466,-0.503
2.065,2.938
1.640,1.355
2.799,3.692
3.054,1.333
2.227,1.538
0.949,0.417
5.048,0.998
1.581,1.256
2.603,0.602
2.949,0.814
1.806,1.209
0.369,0.675
2.388,2.122
4.442,2.781
1.261,0.148
2.695,2.204
