3.702,2.995
0.502,2.958
3.115,1.995
1.012,1.132
3.252,0.769
1.138,1.257
1.857,2.140
1.542,2.783
1.411,0.069
2.655,2.412
1.643,1.750
1.999,1.827
2.168,3.249
3.497,3.099
0.663,0.326
1.710,0.149
3.234,1.432
4.297,0.868
2.038,1.389
-0.104,-0.958
1.151,1.803
-0.097,2.340
0.693,2.962
1.002,0.940
0.922,1.865
2.394,2.116
3.345,1.620
0.427,4.184
3.733,1.394
2.553,-0.248
2.410,-0.114
1.079,0.569
2.428,1.793
1.738,0.868
2.764,0.577
3.209,1.441
5.821,4.097
1.668,0.171
6.139,1.189
0.813,2.238
3.859,0.609
1.817,-1.402
0.548,1.694
0.968,2.431
3.009,3.294
1.785,3.014
3.877,0.533
1.722,0.197
2.631,0.723
2.282,0.196
4.215,0.561
1.853,1.126
2.092,-0.706
4.524,4.068
3.007,1.383
3.286,0.247
2.737,1.752
3.171,0.515
3.101,1.764
4.495,2.605
2.718,0.071
2.149,0.329
4.262,1.140
6.139,2.306
4.813,-0.129
3.139,1.007
2.815,1.581
2.244,0.977
2.363,2.020
2.930,1.220
2.922,2.669
3.124,0.995
1.083,-0.618
1.937,3.734
1.536,2.337
3.574,-0.370
1.457,-0.270
3.172,1.781
0.988,0.165
2.488,0.319
3.538,1.693
2.465,1.729
1.696,1.672
3.991,1.171
1.478,1.438
2.130,-0.194
1.786,-1.101
4.978,0.439
3.507,1.859
3.169,1.383
1.514,-0.328
4.091,1.965
3.800,0.276
1.798,1.162
2.155,3.471
2.358,1.358
4.000,1.242
1.850,-0.334
3.414,1.539
3.626,2.548
